Simulation,mean_queue_hub_time,mean_N_queue_hub,mean_service_hub_time,mean_response_hub_time,mean_N_centre_hub,hub_rho,mean_queue_red_time,mean_N_queue_red,mean_service_red_time,mean_response_red_time,mean_N_centre_red,red_rho,mean_queue_yellow_time,mean_N_queue_yellow,mean_service_yellow_time,mean_response_yellow_time,mean_N_centre_yellow,yellow_rho,mean_queue_green_squadra_time,mean_N_queue_green_squadra,mean_service_green_squadra_time,mean_response_green_squadra_time,mean_N_centre_green_squadra,green_squadra_rho,mean_queue_green_modulo_time,mean_N_queue_green_modulo,mean_service_green_modulo_time,mean_response_green_modulo_time,mean_N_centre_green_modulo,green_modulo_rho,job_arrived,red_job_arrived,yellow_job_arrived,green_job_arrived,job_completed_percentage,red_job_completed_percentage,yellow_job_completed_percentage,green_job_completed_percentage
26,0.0,0.0,1.5422707308796277,1.5422707308796277,0.0131345638309587,0.00656728191547935,14.752910171871113,0.04711552172676665,74.74071748518602,89.49362765705715,0.28581065763707936,0.23869513591031272,33.681643861765764,0.05051205914871994,92.48909612465233,135.30612555495225,0.189217126907107,0.13870506775838706,20.72629776402261,0.04412825769016342,155.0549160733314,205.19639687216045,0.37425490985511134,0.3301266521649479,24.48675246441239,0.0412890993377887,177.66521342332751,202.1519658877399,0.3408648252968102,0.2995757259590215,1096,411,193,491,0.8412408759124088,1.0,0.7772020725388601,0.7352342158859471
27,0.0,0.0,1.501133914556202,1.501133914556202,0.012886112084452232,0.006443056042226116,10.199739899770456,0.029718299176912787,67.19887211386346,77.39861201363392,0.22551115325506815,0.19579285407815536,35.294855647876346,0.058605609156692225,85.12160734796866,127.66287370043501,0.19994642382934355,0.14134081467265133,21.486376440549613,0.04914031603512696,154.47850311263437,208.448666150938,0.40243964896787987,0.3532993329327529,29.074545296614982,0.04987110140720154,175.01235508845755,204.08690038507254,0.3500669881901945,0.30019588678299297,1096,372,212,511,0.8284671532846716,1.0,0.7783018867924528,0.726027397260274
28,0.0,0.0,1.5259884057834419,1.5259884057834419,0.013063581655964015,0.006531790827982008,10.038897360296234,0.030267307903750686,69.97917835318084,80.01807571347707,0.24125475623091513,0.21098744832716446,24.34551687700103,0.035369784992885706,89.45953150503775,107.55785416652424,0.16533886352523042,0.1299690785323447,17.301122142656023,0.0417573786566279,141.363562387489,195.72722976615125,0.38294749073094286,0.34119011207431493,21.347328616534664,0.03568270627881743,179.77105530963632,201.118383926171,0.3361754695315575,0.3004927632527401,1096,386,186,523,0.8193430656934306,1.0,0.8225806451612904,0.6864244741873805
29,0.0,0.0,1.4506576885917313,1.4506576885917313,0.012393410265255134,0.006196705132627567,13.290021302716704,0.04123101987332758,71.35042601303383,84.64044731575052,0.2625888917611945,0.22135787188786693,37.24597137269859,0.05951802267181121,79.72538883211544,123.21137659977207,0.18691696878996727,0.12739894611815605,18.645605567534588,0.03909706003361821,151.04696451873403,177.60659973960048,0.3558200658000432,0.31672300576642504,29.665389128691295,0.051566806994954785,160.73231621796046,190.39770534665175,0.33096487227255855,0.2793980652776038,1096,398,205,492,0.8521897810218978,0.9974874371859297,0.8048780487804879,0.7560975609756098
30,0.0,0.0,1.5513168145290115,1.5513168145290115,0.013603876969845406,0.006801938484922703,11.847933570579203,0.03545405012728871,72.19764848939388,84.04558205997309,0.2515000832491816,0.21604603312189288,43.02014841491799,0.07675884108309053,91.90199481926518,143.4852897882896,0.24073527713612808,0.16397643605303755,23.791389303005957,0.05139669691902593,155.76699007230982,204.5537707668094,0.38790116400888647,0.33650446708986054,20.07179216421291,0.036616146757212385,177.62364159873928,197.6954337629522,0.36064766696825157,0.32403152021103915,1096,374,223,498,0.8366788321167883,1.0,0.757847533632287,0.751004016064257
31,0.0,0.0,1.551309896190811,1.551309896190811,0.012784072906954618,0.006392036453477309,11.500892619999897,0.031909355787172515,72.10835354575595,83.60924616575585,0.2319747928400723,0.2000654370528998,31.08640960611509,0.05329243126747686,89.64686427419923,126.54874202648278,0.20697693241159723,0.15368450114412036,51.305599980525194,0.1107150827738738,142.59765062017772,226.23409520579074,0.41843413679070013,0.3077190540168263,43.5907424575124,0.0691571110840898,172.0728024411163,215.66354489862871,0.342152183938603,0.27299507285451324,1096,369,228,498,0.843978102189781,0.997289972899729,0.8201754385964912,0.7429718875502008
32,0.0,0.0,1.516309078910418,1.516309078910418,0.01242308513451098,0.00621154256725549,12.142656199805634,0.034492801362058303,68.89972266419308,81.04237886399872,0.23021146527308622,0.19571866391102793,17.146575111005767,0.026019838467567648,87.22847332795739,108.02201668624025,0.15838859263989008,0.1323687541723224,14.645103963824981,0.034704268377587895,135.1167413816167,172.66668751244916,0.35488824705028443,0.32018397867269655,11.691661076752238,0.01695544214165897,179.9803174650683,191.67197854182055,0.27796590416097705,0.26101046201931805,1096,381,203,511,0.8348540145985401,0.994750656167979,0.7783251231527094,0.7397260273972602
33,0.0,0.0,1.4292128757908165,1.4292128757908165,0.01291706982340156,0.00645853491170078,18.939541251074832,0.06356534340393286,73.90977130981315,92.849312560888,0.31162309369119484,0.24805775028726196,57.94979956130443,0.09939666340193573,88.70721201037954,148.14496967641605,0.25154906013615097,0.15215239673421524,25.248204676110298,0.05205075624582293,157.27195648708528,231.67947365421074,0.3762767507839062,0.32422599453808326,24.737550003944047,0.04691816886549074,175.3590398515857,200.09658985552971,0.37951072724476664,0.3325925583792759,1096,407,208,480,0.8403284671532847,1.0,0.7548076923076923,0.74375
34,0.00044615448190810255,3.9270146061069045e-06,1.5201843609365644,1.5206305154184725,0.013384463199834468,0.00669026809261418,10.313013733446164,0.031224367414873177,68.17868446963566,78.49169820308182,0.23764669446352016,0.20642232704864696,31.937524655736595,0.06386564493526001,85.97643887357873,130.1335803574381,0.23579320591834912,0.17192756098308912,19.712624853146654,0.03973606714319922,151.4067310867789,195.5847170411209,0.34493682438462747,0.30520075724142826,26.158957519248094,0.0457976958468117,166.44509064032934,192.60404815957742,0.3372008081738933,0.2914031123270816,1096,377,249,469,0.8293795620437956,1.0,0.7389558232931727,0.7420042643923241
35,0.0,0.0,1.4449706145302883,1.4449706145302883,0.012669712858008296,0.006334856429004148,14.408819634043303,0.039999547904572504,73.67123919970986,88.08005883375316,0.2445143059764729,0.2045147580719004,25.318234260536038,0.0457761281225502,84.09429430404037,114.85667240993511,0.19782113848243513,0.15204501035988494,21.471352569700887,0.049642591962717544,157.21215742812393,192.81269106183143,0.41312313923834704,0.36348054727562945,16.240046918216308,0.030271950430050813,184.17279318753845,200.41284010575475,0.37357574099259133,0.34330379056254057,1096,347,226,522,0.833029197080292,1.0,0.8362831858407079,0.7222222222222222
