Simulation,mean_queue_hub_time,mean_N_queue_hub,mean_service_hub_time,mean_response_hub_time,mean_N_centre_hub,hub_rho,mean_queue_red_time,mean_N_queue_red,mean_service_red_time,mean_response_red_time,mean_N_centre_red,red_rho,mean_queue_orange_time,mean_N_queue_orange,mean_service_orange_time,mean_response_orange_time,mean_N_centre_orange,orange_rho,mean_queue_yellow_squadra_time,mean_N_queue_yellow_squadra,mean_service_yellow_squadra_time,mean_response_yellow_squadra_time,mean_N_centre_yellow_squadra,yellow_squadra_rho,mean_queue_yellow_modulo_time,mean_N_queue_yellow_modulo,mean_service_yellow_modulo_time,mean_response_yellow_modulo_time,mean_N_centre_yellow_modulo,yellow_modulo_rho,mean_queue_green_modulo_time,mean_N_queue_green_modulo,mean_service_green_modulo_time,mean_response_green_modulo_time,mean_N_centre_green_modulo,green_modulo_rho,job_arrived,red_job_arrived,orange_job_arrived,yellow_job_arrived,green_job_arrived,job_completed_percentage,red_job_completed_percentage,orange_job_completed_percentage,yellow_job_completed_percentage,green_job_completed_percentage
1,0.0,0.0,1.5939507530011006,1.5939507530011006,0.013788243930550411,0.006894121965275206,12.090910603313434,0.03301859684216642,75.67183304518994,87.76274364850337,0.23966785839093133,0.20664926154876492,20.80496239009982,0.023481534652260643,50.280718710198144,74.68922586174035,0.08023090129836027,0.05674936664609963,1.805767357724607,0.0007268678814947245,133.69273298855398,137.67298927479337,0.05454163708912945,0.05381476920763473,0.0,0.0,115.34408537298718,115.34408537298718,0.020938553224764664,0.020938553224764664,307.2947297010193,1.2830225473004682,176.169001223369,486.23344139290316,2.0185665669616566,0.7355440196611885,1096,346,143,74,532,0.9406934306569343,0.9971098265895953,0.8041958041958042,0.7702702702702703,0.9661654135338346
2,0.0005308933919665309,4.603154361480958e-06,1.4552660236243573,1.4557969170163239,0.012622605648134892,0.006309001246886705,11.468939470492154,0.03384307039752612,70.42530659775504,81.89424606824718,0.24165728156215335,0.20781421116462723,13.431456002321479,0.013813512052252385,56.145415204871796,71.09704680703821,0.07155597641926985,0.05774246436701746,0.6731356020560876,0.000287563648813261,106.83934710457359,124.10172270841589,0.04592935171703336,0.0456417880682201,1.4014227740877803,0.00034369129262469035,116.01511593289074,117.41653870697851,0.02879576578166178,0.02845207448903709,584.2876639677689,2.338917475928793,225.84802231256532,788.0986495866271,3.242992504149745,0.9040750282209522,1096,373,130,85,507,0.9406934306569343,0.9973190348525469,0.8692307692307693,0.7647058823529411,0.9487179487179487
3,0.0,0.0,1.5593323559881929,1.5593323559881929,0.013481412231666273,0.0067407061158331364,10.796294209379061,0.03125553371131849,70.08742458247814,80.8837187918572,0.23416032856899116,0.20290479485767268,16.703326599317823,0.018578396594166192,56.539545549278174,75.78517722778878,0.08146491768460057,0.06288652109043438,0.0,0.0,116.92890236330351,107.70879954607483,0.05442018683827208,0.05442018683827208,2.3996484022909064,0.000397514570595431,127.81453207098117,130.21418047327208,0.021570674264968278,0.021173159694372848,445.81163075932693,1.775942566325474,180.7154894975629,617.6539934865297,2.495843771339856,0.7199012050143818,1096,367,141,80,507,0.948905109489051,1.0,0.8652482269503546,0.7375,0.9704142011834319
4,0.0,0.0,1.435230959884972,1.435230959884972,0.01244574037449232,0.00622287018724616,18.82042206962051,0.059414253280316645,72.8115579247551,91.63197999437561,0.2892733036391738,0.22985905035885712,25.495484876597942,0.026425484602420137,56.15177773160182,81.94146624008972,0.08462551276532682,0.05820002816290668,0.0,0.0,94.3532726103579,102.91004359455155,0.0410589696146151,0.0410589696146151,0.0,0.0,112.5941435159517,112.5941435159517,0.016035285458403575,0.016035285458403575,236.4205617381439,0.9203197381929952,188.62009613372592,419.51996540048066,1.6545655085925892,0.7342457703995939,1096,399,131,73,492,0.9543795620437956,1.0,0.8702290076335878,0.726027397260274,0.975609756097561
5,0.0,0.0,1.4946422295133381,1.4946422295133381,0.013238210870870175,0.006619105435435087,11.739201836959454,0.034342241041256924,71.16536472036073,82.90456655732018,0.24253170255311382,0.20818946151185688,26.91332132372148,0.030014276209230157,52.45731448906323,82.52538357162715,0.08851572637701209,0.05850145016778193,2.9550969474455657,0.0014089813247776975,120.40375054534601,138.42896019654856,0.058817126968943576,0.05740814564416588,0.0,0.0,156.3597728476979,156.3597728476979,0.025271819928950973,0.025271819928950973,388.98748715017894,1.603198505257289,194.9576464533469,583.6866841086903,2.4067097175904877,0.8035112123331986,1096,362,138,79,516,0.9416058394160584,1.0,0.8623188405797102,0.7215189873417721,0.9573643410852714
6,0.0,0.0,1.4528651983178076,1.4528651983178076,0.012668635867702439,0.006334317933851219,16.553139608925047,0.047147360370373474,73.23224083954301,89.78538044846806,0.2557305615735036,0.20858320120313015,28.17051507428422,0.0304808921714364,61.44694635107012,98.60320139216036,0.0969673494141283,0.0664864572426919,0.0,0.0,109.06515270428382,112.98258350525319,0.045121479754280304,0.045121479754280304,0.0,0.0,127.65886214476298,127.65886214476298,0.028438257278946173,0.028438257278946173,304.26697772105547,1.2612074353285683,185.25451173570957,485.6688866841659,2.029100058377001,0.767892623048433,1096,358,136,80,521,0.947992700729927,1.0,0.8308823529411765,0.8125,0.9654510556621881
7,0.0,0.0,1.5309975131478788,1.5309975131478788,0.013131533404576545,0.0065657667022882725,6.894721587869763,0.019640318254570438,69.0258860919254,75.92060767979517,0.2162676009332906,0.19662728267872015,14.277737886002122,0.015642920706281,51.3997450793998,68.0958017353369,0.07195731329562738,0.05631439258934639,0.0,0.0,115.25384668095859,117.96004066018783,0.04329393591503645,0.04329393591503645,0.0,0.0,130.14338110934838,130.14338110934838,0.028517438930389157,0.028517438930389157,376.8787479219727,1.4953402078844247,195.72955323855817,574.910839930783,2.271935525191801,0.7765953173073764,1096,364,140,76,515,0.9434306569343066,1.0,0.8857142857142857,0.7763157894736842,0.945631067961165
8,0.00010790274330639164,9.411819439732943e-07,1.4812875430770456,1.481395445820352,0.012921475420984912,0.0064602671195204695,13.954817270397392,0.03909285278041849,70.31335980954424,84.26817707994164,0.23606783068730092,0.19697497790688243,24.52430425758406,0.025568104793464226,55.489560675885556,80.49347689120162,0.08341940558482452,0.0578513007913603,0.7920132220471994,0.0004097097838213027,110.29145847423588,125.51762073961349,0.05746366841852002,0.05705395863469871,0.0,0.0,113.95369439334836,113.95369439334836,0.022672476727121343,0.022672476727121343,412.6261090354169,1.714185251067909,192.2247179335707,603.8559692926167,2.5127502695120842,0.798565018444175,1096,352,131,90,522,0.9406934306569343,0.9971590909090909,0.8091603053435115,0.8222222222222222,0.9578544061302682
9,0.0,0.0,1.502670489027813,1.502670489027813,0.013617437277307076,0.006808718638653538,13.281830046697623,0.043268836045426966,72.54209878262098,85.8239288293186,0.2795926082651163,0.23632377221968928,18.071750265469145,0.01897688865445555,54.35693415663426,75.94563689597697,0.07605633430499789,0.05707944565054233,2.4056397407772376,0.0010343201973273424,101.32695943378002,111.8406429109748,0.0446004946745854,0.04356617447725805,0.0,0.0,126.41732937866983,126.41732937866983,0.027176969779002632,0.027176969779002632,305.78306213083596,1.2540538156544925,182.0836812784882,456.79643650094806,2.0008013093989407,0.7467474937444482,1096,394,127,78,496,0.9434306569343066,1.0,0.8503937007874016,0.7564102564102564,0.9536290322580645
10,0.0,0.0,1.513327533697741,1.513327533697741,0.012551762470132281,0.006275881235066141,14.008818160586019,0.038483037787636315,72.25369993983654,86.26251810042255,0.23696815146441697,0.19848511367678065,13.352889679548811,0.012530204824251491,51.96361431849915,68.0057043094326,0.06129228902063667,0.04876208419638518,0.0,0.0,117.49811827766246,122.68460736871982,0.05246191594354082,0.05246191594354082,0.0,0.0,135.21310614181093,135.21310614181093,0.030697377041293515,0.030697377041293515,383.78858530323174,1.5044682871516004,199.8024288921369,569.3279808269368,2.2877026757579766,0.783234388606376,1096,363,124,89,519,0.9525547445255474,1.0,0.8951612903225806,0.797752808988764,0.9614643545279383
