time,hub,red,yellow,green
68.24827339719332,0,0,0,0,0
69.37477426307979,0,0,0,0,0
169.83570939226905,0,0,0,0,0
170.16572722724987,0,0,1,0,0
175.0359394960563,0,0,0,0,0
229.72453399137916,0,0,0,0,0
496.2989730742187,0,0,0,0,0
496.41705049025103,0,0,0,0,0
532.2749914807583,0,0,0,0,0
532.434677669717,0,0,1,0,0
546.1752709822542,0,0,0,0,0
577.0745666845979,0,0,0,0,0
857.2255419571388,0,0,0,0,0
859.1861124975887,0,0,0,0,0
875.9810989874848,0,0,0,0,0
885.516556634037,0,0,0,0,0
888.136068284241,0,0,0,0,0
919.6114857710959,0,0,0,0,0
920.080605056599,0,0,0,0,0
957.3536295832923,0,0,0,0,0
963.9065540374638,0,0,0,0,0
990.1651545690214,0,0,0,0,0
993.2881383379947,0,0,0,0,0
1089.2801778999888,0,0,0,0,0
1090.2540523565574,0,0,1,0,0
1102.7555382494795,0,0,0,0,0
1178.2752846433912,0,0,0,0,0
1349.9775181813127,0,0,0,0,0
1350.774904387465,0,0,0,0,0
1379.9152866238755,0,0,0,0,0
1382.8407148548113,0,0,0,0,0
1384.2623031808575,0,0,0,0,0
1461.1637736117611,0,0,0,0,0
1461.3478026965086,0,0,0,0,0
1492.0724648171765,0,0,0,0,0
1551.9096004419303,0,0,0,0,0
1552.4579252146339,0,0,0,0,0
1579.0411657877607,0,0,0,0,0
1629.9024145940623,0,0,0,0,0
1704.5852734066968,0,0,0,0,0
1707.4672359522483,0,0,0,0,0
1800.8746940698827,0,0,0,0,0
1939.1815649921111,0,0,0,0,0
1939.9190540856619,0,0,0,0,0
1965.8810545308531,0,0,0,0,0
1970.1632077467857,0,0,1,0,0
1970.9033793358287,0,0,1,0,0
1971.029391627829,0,0,1,0,0
2026.2920665471959,0,0,1,0,0
2027.3243960028888,0,0,2,0,0
2066.6757619059167,0,0,1,0,0
2066.8195125074667,0,0,1,0,0
2067.3076515818875,0,0,2,0,0
2070.692746869927,0,0,2,0,0
2089.708932294897,0,0,2,0,0
2091.7199388758813,0,0,2,0,0
2107.436144981381,0,0,1,0,0
2158.3028100265465,0,0,0,0,0
2200.9324322145676,0,0,0,0,0
2204.852402143916,0,0,0,0,1
2263.7759940050746,0,0,0,0,1
2275.397176519672,0,0,0,0,1
2275.6504621079,0,0,0,0,1
2280.5032136175605,0,0,0,0,1
2283.7250454945815,0,0,0,0,1
2320.620356379887,0,0,0,0,1
2377.0587069478315,0,0,0,0,0
2405.628415811734,0,0,0,0,0
2406.933982186774,0,0,0,0,0
2407.4794042283297,0,0,0,0,0
2426.9358688816933,0,0,0,0,0
2432.827017218516,0,0,0,0,1
2464.982454175411,0,0,0,0,0
2493.1302915960046,0,0,0,0,0
2493.758888220103,0,0,0,0,0
2499.581662927113,0,0,0,0,0
2520.048695605664,0,0,0,0,0
2520.0574332158626,0,0,0,0,0
2529.678793664916,0,0,0,0,0
2550.614135335594,0,0,0,0,0
2551.294754127667,0,0,0,0,0
2561.069097734869,0,0,0,0,0
2561.2771289709704,0,0,1,0,0
2577.163923201553,0,0,1,0,0
2630.5414684665875,0,0,1,0,0
2630.688350435376,0,0,2,0,0
2673.3810105645707,0,0,1,0,0
2704.055521141521,0,0,0,0,0
2740.193454146076,0,0,0,0,0
2770.7938528914633,0,0,0,0,0
2772.634643134107,0,0,0,0,0
2817.679162208969,0,0,0,0,0
2988.7830282736372,0,0,0,0,0
2988.9272525274123,0,0,0,0,0
2999.8340059015636,0,0,0,0,0
2999.9738975940163,0,0,0,0,0
3012.877942813937,0,0,0,0,0
3013.3348246447445,0,0,1,0,0
3055.6848680515714,0,0,1,0,0
3057.2634899965874,0,0,2,0,0
3087.2868422235915,0,0,1,0,0
3182.80695260199,0,0,1,0,0
3186.1630607243887,0,0,2,0,0
3204.740747081283,0,0,1,0,0
3227.109854573658,0,0,1,0,0
3294.4676471923854,0,0,1,0,0
