time,hub,red,yellow,green
0,0,0,0,0,0
12.4726939274984,0,0,0,0,0
13.780062119975877,0,0,0,0,0
92.28692916512007,0,0,0,0,0
164.8007801847184,0,0,0,0,0
166.57154697966527,0,0,0,0,0
304.0090453060637,0,0,0,0,0
877.7998653958239,0,0,0,0,0
881.7563857332115,0,0,0,0,0
920.2572831820277,0,0,0,0,0
935.9265041190159,0,0,0,0,0
936.5049958710632,0,0,0,0,0
946.903943539868,0,0,0,0,0
948.5986749567729,0,0,0,0,0
968.6945540780072,0,0,0,0,0
992.851057970266,0,0,0,0,0
992.9589364151952,0,0,0,0,0
1001.7639078911207,0,0,0,0,0
1030.2935095589135,0,0,0,0,0
1311.3103223267076,0,0,0,0,0
1313.1313646243564,0,0,0,0,0
1350.973299650217,0,0,0,0,0
1518.3061909806052,0,0,0,0,0
1519.6272773899009,0,0,0,0,0
1533.3309856690935,0,0,0,0,0
1534.4016262282046,0,0,1,0,0
1594.2720343569695,0,0,1,0,0
1598.00757331802,0,0,2,0,0
1662.4054871617072,0,0,2,0,0
1662.920799590362,0,0,3,0,0
1669.79493919318,0,0,3,0,0
1671.1768922583506,0,0,4,0,0
1722.362742639184,0,0,4,0,0
1722.5517076446106,0,0,5,0,0
1723.6528286027558,0,0,4,0,0
1755.4074839758418,0,0,3,0,0
1867.871685463936,0,0,2,0,0
1909.9156493612134,0,0,1,0,0
2103.554186332438,0,0,1,0,0
2104.8443706796393,0,1,1,0,0
2132.3924262788696,0,1,0,0,0
2177.946064147985,0,0,0,0,0
2231.415042237599,0,0,0,0,0
2532.327874936286,0,0,0,0,0
2532.4101035973326,0,0,0,0,0
2588.4751717539107,0,0,0,0,0
2592.971527386209,0,0,0,0,0
2627.1632468220105,0,0,0,0,0
2630.3737818243153,0,0,0,0,1
2733.89115362688,0,0,0,0,0
2782.2923798912248,0,0,0,0,0
2863.8185458236844,0,0,0,0,0
2865.66681138652,0,0,0,0,0
2910.7045018007507,0,0,0,0,0
3066.2412076678593,0,0,0,0,0
3067.079160271324,0,0,0,0,0
3119.7941996491713,0,0,0,0,0
3188.8854670986752,0,0,0,0,0
3224.9773720262556,0,0,0,0,0
3226.0369269681732,0,0,0,0,0
3256.272752839562,0,0,0,0,0
3257.4302089949274,0,0,0,0,0
3289.0884474879786,0,0,0,0,0
3316.6319337567675,0,0,0,0,0
3317.564899993551,0,0,0,0,0
3320.8516755982823,0,0,0,0,0
3321.1549554005583,0,1,0,0,0
3325.774000363342,0,1,0,0,0
3327.178216210795,0,1,0,0,0
3327.8649795496917,0,1,0,0,0
3356.310289482653,0,1,0,0,0
3357.299770970223,0,1,0,0,0
3412.6670937049594,0,1,0,0,0
3426.573632935819,0,0,0,0,0
3468.675583308283,0,0,0,0,0
3469.554773458,0,0,0,0,0
3504.33706721771,0,0,0,0,0
3536.5968476693724,0,0,0,0,0
3610.891946067334,0,0,0,0,0
3611.278059848939,0,0,0,0,0
3636.278059848939,0,0,0,0,0
3817.22924043131,0,0,0,0,0
3817.252399886046,0,0,0,0,0
3852.6064114629817,0,0,0,0,0
4095.2001857244977,0,0,0,0,0
4096.440930021825,0,0,0,0,0
4180.157939413569,0,0,0,0,0
4304.854106151507,0,0,0,0,0
4304.929186591458,0,0,0,0,0
4306.483694787671,0,0,0,0,0
4307.666097059116,0,0,1,0,0
4326.765344202105,0,0,1,0,0
4329.209433978415,0,0,1,0,0
4438.686681712683,0,0,0,0,0
4487.360781823561,0,0,0,0,0
4488.534385482052,0,0,1,0,0
4552.591323472946,0,0,0,0,0
4591.711318805977,0,0,0,0,0
4636.947865172276,0,0,0,0,0
4637.5911870487225,0,0,0,0,0
4638.308509598019,0,0,0,0,0
4851.864078622387,0,0,0,0,0
4961.693991892417,0,0,0,0,0
4962.325414081036,0,0,0,0,0
5053.9360866686775,0,0,0,0,0
5059.7092628036835,0,0,0,0,0
5061.787246551838,0,0,0,0,0
5099.693851621777,0,0,0,0,0
5100.782689387609,0,0,0,0,0
5133.06293844054,0,0,0,0,0
5219.599339273545,0,0,0,0,0
5249.392243458302,0,0,0,0,0
5249.40687191099,0,0,0,0,0
5265.888773959726,0,0,0,0,0
5266.827958258244,0,0,0,0,0
5281.400919697573,0,0,0,0,0
5282.1459608290015,0,0,0,0,0
5295.092627932647,0,0,0,0,0
5326.189508492934,0,0,0,0,0
5540.255608564719,0,0,0,0,0
5540.606119904541,0,0,0,0,0
5593.883343819922,0,0,0,0,0
5595.832244329887,0,0,0,0,0
5693.088700732483,0,0,0,0,0
5747.405383298408,0,0,0,0,0
5750.750774508726,0,0,0,0,0
5750.921726357365,0,0,0,0,0
5752.740886257627,0,0,0,0,0
5785.029449171614,0,0,0,0,0
5824.38519262733,0,0,0,0,0
5845.222939877178,0,0,0,0,0
5846.075615157078,0,0,0,0,0
5900.093492069984,0,0,0,0,0
5900.393364250774,0,0,1,0,0
5956.130693172341,0,0,1,0,0
5957.8397669421975,0,0,1,0,0
5963.772219490633,0,0,1,0,0
5964.753984551976,0,0,1,1,0
6033.350672177988,0,0,1,0,0
6043.595641921674,0,0,1,0,0
6045.526445950616,0,0,1,0,1
6058.732561090166,0,0,1,0,1
6059.034661197393,0,0,2,0,1
6070.414672313581,0,0,1,0,1
6101.459390690367,0,0,1,0,1
6102.085530099868,0,0,1,0,2
6136.751143228149,0,0,0,0,2
6199.650647814956,0,0,0,0,2
6220.584734598577,0,0,0,0,2
6225.365410038528,0,0,0,0,2
6329.3751005044305,0,0,0,0,2
6383.002911234234,0,0,0,0,1
6440.596023169286,0,0,0,0,0
6540.038420066118,0,0,0,0,0
6709.762427875527,0,0,0,0,0
6712.654573452055,0,0,0,0,0
6741.824818644036,0,0,0,0,0
6773.426000460023,0,0,0,0,0
6773.771446503466,0,0,0,0,0
6859.160974855699,0,0,0,0,0
7255.4199283785965,0,0,0,0,0
7256.376479530349,0,0,0,0,0
7300.5312398312335,0,0,0,0,0
7384.809766977526,0,0,0,0,0
7385.7845193127505,0,0,0,0,0
7389.4512654214805,0,0,0,0,0
7389.725802521254,0,0,0,0,0
7481.950803239552,0,0,0,0,0
7514.7710980569955,0,0,0,0,0
7515.647753082161,0,0,0,0,0
7587.862906063848,0,0,0,0,0
7646.212734271461,0,0,0,0,0
7846.648686451838,0,0,0,0,0
7848.989200528267,0,0,0,0,0
7886.333654891956,0,0,0,0,0
7987.10982580514,0,0,0,0,0
7996.073309256494,0,0,0,0,0
8045.178169856187,0,0,0,0,0
8154.090891091912,0,0,0,0,0
8154.856030358797,0,0,0,0,0
8188.356841260038,0,0,0,0,0
8345.529997540916,0,0,0,0,0
8345.807743504045,0,0,0,0,0
8392.83740689876,0,0,0,0,0
8399.133441103417,0,0,0,0,0
8399.76350059004,0,0,0,0,0
8453.316347754957,0,0,0,0,0
8457.83210159376,0,0,0,0,0
8528.931576125224,0,0,0,0,0
8608.274267641538,0,0,0,0,0
8610.993828452067,0,0,0,0,0
8636.4207809906,0,0,0,0,0
8636.821009546054,0,0,0,0,0
8676.819793186585,0,0,0,0,0
8699.520441430115,0,0,0,0,0
8776.231228693603,0,0,0,0,0
8777.2896772297,0,0,0,0,0
8803.763839161607,0,0,0,0,0
8981.752847704984,0,0,0,0,0
8986.68492052552,0,0,0,0,0
9024.487351149823,0,0,0,0,0
9024.834775537638,0,0,1,0,0
9025.484730915483,0,0,0,0,0
9052.714543491284,0,0,0,0,0
9243.251833338129,0,0,0,0,0
9243.261855675948,0,0,0,0,0
9281.52058182901,0,0,0,0,0
9282.418488137975,0,1,0,0,0
9298.039160154169,0,0,0,0,0
9333.198421818981,0,0,0,0,0
9469.517469603792,0,0,0,0,0
9470.07571456189,0,0,0,0,0
9659.035456539441,0,0,0,0,0
9733.499334863669,0,0,0,0,0
9734.77799633814,0,0,0,0,0
9734.931244000827,0,0,0,0,0
