Simulation,mean_queue_hub_time,mean_N_queue_hub,mean_service_hub_time,mean_response_hub_time,mean_N_centre_hub,hub_rho,mean_queue_red_time,mean_N_queue_red,mean_service_red_time,mean_response_red_time,mean_N_centre_red,red_rho,mean_queue_orange_time,mean_N_queue_orange,mean_service_orange_time,mean_response_orange_time,mean_N_centre_orange,orange_rho,mean_queue_yellow_squadra_time,mean_N_queue_yellow_squadra,mean_service_yellow_squadra_time,mean_response_yellow_squadra_time,mean_N_centre_yellow_squadra,yellow_squadra_rho,mean_queue_yellow_modulo_time,mean_N_queue_yellow_modulo,mean_service_yellow_modulo_time,mean_response_yellow_modulo_time,mean_N_centre_yellow_modulo,yellow_modulo_rho,mean_queue_green_modulo_time,mean_N_queue_green_modulo,mean_service_green_modulo_time,mean_response_green_modulo_time,mean_N_centre_green_modulo,green_modulo_rho,job_arrived,red_job_arrived,orange_job_arrived,yellow_job_arrived,green_job_arrived,job_completed_percentage,red_job_completed_percentage,orange_job_completed_percentage,yellow_job_completed_percentage,green_job_completed_percentage
230,0.0,0.0,1.432491025356044,1.432491025356044,0.012254449484906655,0.006127224742453328,12.043920366142023,0.03609860686149606,74.06330757887059,86.10722794501261,0.25808464976723544,0.22198604290573937,21.23276841050858,0.023036302091419485,54.10365762973074,80.98965299640983,0.08173558130516365,0.05869927921374416,3.0327960665216627,0.005278851113628807,113.83005872258909,123.82243287236656,0.20341018572108213,0.19813133460745333,4.575426231021993,0.004571227853729896,133.65880807705133,138.23423430807333,0.138107391596377,0.1335361637426471,78.5578730764095,0.13551061998865416,155.71874021532534,244.22380443307074,0.40412205515195654,0.2686114351633024,1096,384,139,351,221,0.8768248175182481,1.0,0.8561151079136691,0.7692307692307693,0.8506787330316742
231,0.0,0.0,1.502157783998748,1.502157783998748,0.012397569824648963,0.006198784912324481,11.276541326390529,0.030739368597303866,72.29724020600591,83.57378153239644,0.22781854836842827,0.1970791797711244,17.133536516832628,0.015869475829497416,57.452433615850516,78.4239036229445,0.06908324204272591,0.053213766213228486,3.4274113033528604,0.006503950416064314,109.41348083799932,126.6478344275488,0.2141299956249394,0.2076260452088751,8.793627949141793,0.008939481125707176,118.09919586339579,126.89282381253757,0.1289974979633488,0.12005801683764165,83.41544763713807,0.14007537828846567,174.88770784520682,249.70750169548438,0.4337555362010067,0.29368015791254104,1096,362,123,387,223,0.8722627737226277,1.0,0.7967479674796748,0.772609819121447,0.8834080717488789
232,0.0,0.0,1.4188640078235293,1.4188640078235293,0.012316150390621066,0.006158075195310533,12.255169092198415,0.033582967079388695,72.18658408381913,84.44175317601754,0.2313966127845044,0.1978136457051157,22.121419992841727,0.024002541292158164,55.92516213903322,80.73910026944517,0.08468336620968855,0.06068082491753039,3.858563931063745,0.007364892293287181,98.39755219455047,107.13197508545225,0.1951776088331899,0.18781271653990272,10.81453830253792,0.012505023033215407,104.76570569942287,115.58024400196079,0.13364727859810624,0.12114225556489083,45.54067845652501,0.08115320413488537,161.6551913908836,206.80297243790463,0.3692217439773939,0.28806853984250846,1096,346,137,387,225,0.8813868613138686,1.0,0.8759124087591241,0.8191214470284238,0.8133333333333334
233,5.21155536501077e-05,4.335242598663442e-07,1.4195742168034022,1.4196263323570524,0.01180918961647819,0.0059043780461091626,11.759018083066904,0.034539617096161795,69.38881688138069,81.1478349644476,0.2383545231459955,0.2038149060498337,14.868221797716261,0.01512165498191682,52.50038807289744,71.36681182677022,0.06851692750717851,0.05339527252526168,5.593406945915267,0.010231256093540076,105.8748976888619,125.27884448818303,0.20389375957420675,0.19366250348066666,7.1910184706680305,0.007259012440406557,127.00561807395611,134.19663654462414,0.135465519677305,0.12820650723689844,66.35930019022896,0.1007319609678031,161.35560600536948,238.52104711943602,0.34566622880178416,0.24493426783398106,1096,387,134,374,200,0.8713503649635036,1.0,0.8059701492537313,0.7807486631016043,0.84
234,0.0,0.0,1.533914550180976,1.533914550180976,0.013262060886252649,0.006631030443126324,12.678346351613678,0.03840547425553044,69.43795948043434,82.11630583204803,0.24874818703707247,0.210342712781542,47.633103722251775,0.04772125954248792,51.90460911373015,107.94883558730615,0.09972192986224694,0.05200067031975902,1.7983702338799155,0.0034189712154142266,102.42099320815366,112.936004636435,0.19813662225066592,0.19471765103525168,4.90138022325464,0.005529090872965789,106.88827250722542,111.78965273048007,0.12610634565169104,0.12057725477872526,58.12253711899743,0.09170095433956403,163.83928292850698,225.00568931824964,0.3501930874701952,0.25849213313063113,1096,384,127,384,200,0.875,1.0,0.8661417322834646,0.765625,0.855
235,0.0,0.0,1.4742520909561725,1.4742520909561725,0.012277336048832951,0.006138668024416476,10.95454336341816,0.032295933426415444,67.17063363385752,78.12517699727567,0.2303268544863968,0.19803092105998135,12.31053101059336,0.012160235213561332,53.75392924401019,69.59888126494667,0.06525789791371735,0.05309766270015601,2.5621116955654095,0.004594432745917926,104.49642055931741,121.31997402513457,0.19197961867669358,0.18738518593077566,5.122597024553049,0.005527138839367387,117.27096472927383,122.39356175382687,0.1320592280859944,0.126532089246627,51.42987537486994,0.0777661117472735,157.09461523433703,216.97359946880277,0.3153058163287428,0.2375397045814693,1096,388,130,378,199,0.8777372262773723,0.9974226804123711,0.8461538461538461,0.7883597883597884,0.8391959798994975
236,0.0,0.0,1.5452470318481666,1.5452470318481666,0.013634926837954187,0.006817463418977094,12.46987155503417,0.03443502795364639,68.65786868083211,81.12774023586627,0.22403085633311187,0.18959582837946548,13.593639320861854,0.013351802912656176,52.0439169165574,68.5857465149887,0.06446983724258798,0.051118034329931804,3.060085956594692,0.00640547460192864,107.95098309349497,117.49563511802346,0.23237209458148506,0.2259666199795564,6.299889458536908,0.007810844461532271,123.00460286749701,129.3044923260339,0.1603166665674483,0.15250582210591604,93.20937412621936,0.1620905450831228,167.83307751875438,260.7913062719888,0.4539512648123898,0.29186071972926697,1096,343,122,414,216,0.8631386861313869,1.0,0.8688524590163934,0.7777777777777778,0.8101851851851852
237,0.0,0.0,1.5117175109599044,1.5117175109599044,0.01336328078274862,0.00668164039137431,12.428226931497823,0.03638712103893939,74.11824747727208,86.54647440876991,0.253389084151994,0.21700196311305464,22.626696890662256,0.025366926764997463,51.60922040882766,78.75732742322002,0.08322633597684843,0.057859409211850975,2.367201772383136,0.004467689994456474,100.54233381384007,115.17668502707079,0.19422421351512817,0.18975652352067168,2.484037353176307,0.003065359737390545,119.92633292720578,122.41037028038208,0.15105723753177352,0.14799187779438297,52.77886272337541,0.08769183216556939,161.50687108274386,221.1620216773848,0.35603473880992953,0.2683429066443601,1096,363,139,387,206,0.8686131386861314,1.0,0.8201438848920863,0.772609819121447,0.8543689320388349
238,0.0009837926970454897,8.316371988531634e-06,1.4869911044781154,1.4879748971751607,0.012578414936062038,0.006285049282036753,12.397783811414115,0.036049991581637256,69.71240339418493,82.11018720559905,0.23875812020558806,0.2027081286239508,17.57176358374118,0.01788994647238558,53.90382745635163,72.0565059398436,0.07276984417048124,0.05487989769809566,5.503183907175318,0.009974741444756468,90.46965005091394,109.19200474009905,0.17395460893180478,0.16397986748704832,6.356058667906943,0.0075006532095409795,129.80137986397972,136.15743853188667,0.16067657359484055,0.1531759203852996,46.41858391960462,0.07088867127833788,155.25104217629536,205.27606952017572,0.3079820757974414,0.23709340451910355,1096,377,132,388,198,0.8813868613138686,0.9973474801061007,0.8560606060606061,0.7912371134020618,0.8585858585858586
239,0.0,0.0,1.4745276776069067,1.4745276776069067,0.01298599416665894,0.00649299708332947,20.002025166951604,0.05914710715996793,75.43655615424001,95.43858132119162,0.282217222980334,0.2230701158203661,26.55740850079391,0.02880919895255001,56.363051560818455,86.64429207201474,0.08995124773113893,0.06114204877858892,4.844617904608304,0.009381845849338913,111.65061881281548,130.01757737256355,0.22559887582165938,0.21621702997232045,9.184360513042304,0.012398522225121085,100.87954392251218,110.06390443555449,0.14858190326805826,0.13618338104293717,50.77023484399084,0.07465724893310041,163.45036963431752,212.05796858858636,0.31500978958007037,0.24035254064696998,1096,368,135,409,183,0.8886861313868614,1.0,0.8148148148148148,0.823960880195599,0.8688524590163934
