time,hub,red,yellow,green
0,0,0,0,0
12.4726939274984,0,0,0,0
13.780062119975877,0,0,0,0
53.525756547874124,0,0,0,0
164.8007801847184,0,0,0,0
166.57154697966527,0,0,0,0
374.25812354985334,0,0,0,0
877.7998653958239,0,0,0,0
881.7563857332115,0,0,0,0
928.6924192830645,0,0,0,0
935.9265041190159,0,0,0,0
936.5049958710632,0,0,0,0
946.903943539868,0,0,0,0
948.5986749567729,0,0,1,0
992.851057970266,0,0,1,0
992.9589364151952,0,0,2,0
1015.0118629162074,0,0,1,0
1098.4013827588217,0,0,0,0
1231.6185299732072,0,0,0,0
1311.3103223267076,0,0,0,0
1313.1313646243564,0,0,0,0
1350.4659377680746,0,0,0,0
1518.3061909806052,0,0,0,0
1519.6272773899009,0,0,0,0
1533.3309856690935,0,0,0,0
1534.4016262282046,0,1,0,0
1557.4692124157616,0,0,0,0
1594.2720343569695,0,0,0,0
1598.00757331802,0,1,0,0
1662.4054871617072,0,1,0,0
1662.920799590362,0,2,0,0
1669.79493919318,0,2,0,0
1671.1768922583506,0,2,1,0
1722.362742639184,0,2,1,0
1722.5517076446106,0,3,1,0
1761.4947636286165,0,2,1,0
1793.2494190017026,0,1,1,0
1905.7136204897968,0,0,1,0
1947.757584387074,0,0,0,0
2093.185440075681,0,0,0,0
2103.554186332438,0,0,0,0
2104.8443706796393,0,0,0,0
2175.6067725443722,0,0,0,0
2532.327874936286,0,0,0,0
2532.4101035973326,0,0,0,0
2588.4751717539107,0,0,0,0
2592.971527386209,0,0,0,0
2627.1632468220105,0,0,0,0
2630.3737818243153,0,0,1,0
2815.448304303865,0,0,0,0
2855.3970561540636,0,0,0,0
2863.8185458236844,0,0,0,0
2865.66681138652,0,0,0,0
2935.6977462508735,0,0,0,0
3066.2412076678593,0,0,0,0
3067.079160271324,0,0,0,0
3112.6327981404393,0,0,0,0
3224.9773720262556,0,0,0,0
3226.0369269681732,0,0,0,0
3256.272752839562,0,0,0,0
3257.4302089949274,0,0,0,0
3316.6319337567675,0,0,0,0
3317.564899993551,0,0,1,0
3320.8516755982823,0,0,1,0
3321.1549554005583,0,1,1,0
3327.178216210795,0,1,1,0
3327.8649795496917,0,2,1,0
3356.310289482653,0,2,1,0
3357.299770970223,0,3,1,0
3446.7510614999433,0,2,1,0
3468.675583308283,0,2,1,0
3469.554773458,0,2,2,0
3491.788751914174,0,1,2,0
3600.797484856442,0,0,2,0
3610.891946067334,0,0,2,0
3611.278059848939,0,0,3,0
3658.4585757312702,0,0,2,0
3780.2962670322445,0,0,1,0
3808.319754812638,0,0,0,0
3817.22924043131,0,0,0,0
3817.252399886046,0,0,0,0
3854.1562740827217,0,0,0,0
3904.077877333737,0,0,0,0
4095.2001857244977,0,0,0,0
4096.440930021825,0,0,0,0
4131.7949415987605,0,0,0,0
4304.854106151507,0,0,0,0
4304.929186591458,0,0,0,0
4306.483694787671,0,0,0,0
4307.666097059116,0,0,1,0
4326.765344202105,0,0,1,0
4329.209433978415,0,0,2,0
4438.686681712683,0,0,1,0
4487.360781823561,0,0,1,0
4488.534385482052,0,0,1,0
4544.466914969759,0,0,0,0
4583.958656552916,0,0,0,0
4637.5911870487225,0,0,0,0
4638.308509598019,0,0,0,0
4752.213151358282,0,0,0,0
4961.693991892417,0,0,0,0
4962.325414081036,0,0,0,0
5046.681955780366,0,0,0,0
5059.7092628036835,0,0,0,0
5061.787246551838,0,0,0,0
5099.693851621777,0,0,0,0
5100.782689387609,0,0,0,0
5153.397919139479,0,0,0,0
5175.1230101221245,0,0,0,0
5249.392243458302,0,0,0,0
5249.40687191099,0,0,0,0
5265.888773959726,0,0,0,0
5266.827958258244,0,0,1,0
5281.400919697573,0,0,1,0
5282.1459608290015,0,0,1,0
5314.426209881933,0,0,0,0
5404.250021972463,0,0,0,0
5540.255608564719,0,0,0,0
5540.606119904541,0,0,0,0
5568.870789578944,0,0,0,0
5593.883343819922,0,0,0,0
5595.832244329887,0,0,0,0
5747.405383298408,0,0,0,0
5750.750774508726,0,0,0,0
5750.921726357365,0,0,0,0
5752.740886257627,0,1,0,0
5845.222939877178,0,1,0,0
5846.075615157078,0,2,0,0
5848.178182759961,0,1,0,0
5900.093492069984,0,1,0,0
5900.393364250774,0,1,0,0
5956.130693172341,0,1,0,0
5957.8397669421975,0,2,0,0
5963.772219490633,0,2,0,0
5964.753984551976,0,3,0,0
6032.816332102818,0,3,0,0
6043.595641921674,0,3,0,0
6045.526445950616,0,4,0,0
6058.732561090166,0,4,0,0
6059.034661197393,0,4,1,0
6072.517239916464,0,3,1,0
6101.459390690367,0,3,1,0
6102.085530099868,0,4,1,0
6138.853710831032,0,3,1,0
6201.753215417839,0,2,1,0
6220.584734598577,0,2,1,0
6225.365410038528,0,2,2,0
6230.92346060982,0,1,2,0
6316.312988962053,0,0,2,0
6412.479272888855,0,0,1,0
6559.131346248064,0,0,0,0
6701.769597776253,0,0,0,0
6709.762427875527,0,0,0,0
6712.654573452055,0,0,0,0
6749.999027815744,0,0,0,0
6773.426000460023,0,0,0,0
6773.771446503466,0,0,0,0
6807.272257404707,0,0,0,0
7255.4199283785965,0,0,0,0
7256.376479530349,0,0,0,0
7303.406142925062,0,0,0,0
7384.809766977526,0,0,0,0
7385.7845193127505,0,0,0,0
7389.4512654214805,0,0,0,0
7389.725802521254,0,0,0,0
7456.883993844214,0,0,0,0
7496.795080958954,0,0,0,0
7514.7710980569955,0,0,0,0
7515.647753082161,0,0,0,0
7846.648686451838,0,0,0,0
7848.989200528267,0,0,0,0
7975.933758381775,0,0,0,0
7987.10982580514,0,0,0,0
7996.073309256494,0,0,0,0
8061.899273991012,0,0,0,0
8154.090891091912,0,0,0,0
8154.856030358797,0,0,0,0
8210.199994138939,0,0,0,0
8345.529997540916,0,0,0,0
8345.807743504045,0,0,0,0
8399.133441103417,0,0,0,0
8399.76350059004,0,0,1,0
8411.473691504481,0,0,0,0
8453.316347754957,0,0,0,0
8457.83210159376,0,0,0,0
8484.685139246747,0,0,0,0
8544.085511284065,0,0,0,0
8608.274267641538,0,0,0,0
8610.993828452067,0,0,0,0
8636.4207809906,0,0,0,0
8636.821009546054,0,1,0,0
8649.79363884203,0,0,0,0
8677.02345141783,0,0,0,0
8776.231228693603,0,0,0,0
8777.2896772297,0,0,0,0
8832.066981707922,0,0,0,0
8981.752847704984,0,0,0,0
8986.68492052552,0,0,0,0
9020.66931246038,0,0,0,0
9024.487351149823,0,0,0,0
9024.834775537638,0,0,0,0
9114.978801049681,0,0,0,0
9243.251833338129,0,0,0,0
9243.261855675948,0,0,0,0
9281.52058182901,0,0,0,0
9282.418488137975,0,0,0,0
9298.798796986654,0,0,0,0
9346.992435184686,0,0,0,0
9469.517469603792,0,0,0,0
9470.07571456189,0,0,0,0
9680.760535963938,0,0,0,0
9733.499334863669,0,0,0,0
9734.77799633814,0,0,0,0
9734.931244000827,0,0,0,0
9735.581115180721,0,1,0,0
9750.33661130294,0,1,0,0
9752.898487587394,0,1,1,0
9867.118430329932,0,0,1,0
9904.799479458316,0,0,0,0
9924.515003710314,0,0,0,0
9924.901535124449,0,0,0,0
9955.746168616135,0,0,0,0
10133.166498032433,0,0,0,0
10133.941396990485,0,0,0,0
10204.384871452956,0,0,0,0
