time,hub,red,yellow,green
0,0,0,0,0
68.24827339719332,0,0,0,0
69.37477426307979,0,0,0,0
102.86664671413516,0,0,0,0
169.83570939226905,0,0,0,0
170.16572722724987,0,0,0,0
281.9129067172198,0,0,0,0
496.2989730742187,0,0,0,0
496.41705049025103,0,0,0,0
532.2749914807583,0,0,0,0
532.434677669717,0,1,0,0
602.0782157232276,0,0,0,0
656.7668102185504,0,0,0,0
857.2255419571388,0,0,0,0
859.1861124975887,0,0,0,0
875.9810989874848,0,0,0,0
885.516556634037,0,1,0,0
908.9443329895919,0,0,0,0
919.6114857710959,0,0,0,0
920.080605056599,0,0,1,0
939.8436286919356,0,0,0,0
990.1651545690214,0,0,0,0
993.2607331553869,0,0,0,0
993.2881383379947,0,0,0,0
1064.6742486685885,0,0,0,0
1089.2801778999888,0,0,0,0
1090.2540523565574,0,0,0,0
1153.33768847909,0,0,0,0
1349.9775181813127,0,0,0,0
1350.774904387465,0,0,0,0
1382.8407148548113,0,0,0,0
1384.2623031808575,0,0,0,0
1413.2122589675098,0,0,0,0
1461.1637736117611,0,0,0,0
1461.3478026965086,0,0,0,0
1498.620827223202,0,0,0,0
1551.9096004419303,0,0,0,0
1552.4579252146339,0,0,0,0
1661.9253251261187,0,0,0,0
1704.5852734066968,0,0,0,0
1707.4672359522483,0,0,0,0
1737.917217898271,0,0,0,0
1939.1815649921111,0,0,0,0
1939.9190540856619,0,0,0,0
1965.8810545308531,0,0,0,0
1970.1632077467857,0,0,0,0
1970.9033793358287,0,0,0,0
1971.029391627829,0,0,1,0
2026.2920665471959,0,0,1,0
2027.3243960028888,0,0,2,0
2045.6829541406973,0,0,1,0
2066.8195125074667,0,0,1,0
2067.3076515818875,0,0,1,0
2089.708932294897,0,0,1,0
2091.7199388758813,0,0,1,0
2098.0323137025553,0,0,0,0
2168.886029623862,0,0,0,0
2171.5898746452895,0,0,0,0
2200.9324322145676,0,0,0,0
2204.852402143916,0,0,0,0
2275.397176519672,0,0,0,0
2275.6504621079,0,0,0,0
2280.5032136175605,0,0,0,0
2283.7250454945815,0,1,0,0
2353.094951487328,0,0,0,0
2406.933982186774,0,0,0,0
2407.4794042283297,0,0,1,0
2426.9358688816933,0,0,1,0
2432.827017218516,0,1,1,0
2446.502409604963,0,0,1,0
2493.1302915960046,0,0,1,0
2493.758888220103,0,1,1,0
2520.048695605664,0,1,1,0
2520.0574332158626,0,2,1,0
2550.614135335594,0,2,1,0
