time,system
0,0
68.24827339719332,1
69.37477426307979,1
102.86664671413516,0
169.83570939226905,1
170.16572722724987,1
281.9129067172198,0
496.2989730742187,1
496.41705049025103,1
532.2749914807583,2
532.434677669717,2
602.0782157232276,1
656.7668102185504,0
857.2255419571388,1
859.1861124975887,1
875.9810989874848,2
885.516556634037,2
908.9443329895919,1
919.6114857710959,2
920.080605056599,2
939.8436286919356,1
990.1651545690214,2
993.2607331553869,1
993.2881383379947,1
1064.6742486685885,0
1089.2801778999888,1
1090.2540523565574,1
1153.33768847909,0
1349.9775181813127,1
1350.774904387465,1
1382.8407148548113,2
1384.2623031808575,1
1413.2122589675098,0
1461.1637736117611,1
1461.3478026965086,1
1498.620827223202,0
1551.9096004419303,1
1552.4579252146339,1
1661.9253251261187,0
1704.5852734066968,1
1707.4672359522483,1
1737.917217898271,0
1939.1815649921111,1
1939.9190540856619,1
1965.8810545308531,2
1970.1632077467857,1
1970.9033793358287,2
1971.029391627829,2
2026.2920665471959,3
2027.3243960028888,3
2045.6829541406973,2
2066.8195125074667,3
2067.3076515818875,2
2089.708932294897,3
2091.7199388758813,3
2098.0323137025553,2
2168.886029623862,1
2171.5898746452895,0
2200.9324322145676,1
2204.852402143916,1
2275.397176519672,2
2275.6504621079,1
2280.5032136175605,2
2283.7250454945815,2
2353.094951487328,1
2406.933982186774,2
2407.4794042283297,2
2426.9358688816933,3
2432.827017218516,3
2446.502409604963,2
2493.1302915960046,3
2493.758888220103,3
2520.048695605664,4
2520.0574332158626,4
2550.614135335594,5
2551.294754127667,5
2561.069097734869,6
2561.2771289709704,6
2573.2591174252175,5
2614.0195005006817,4
2618.8451300674747,3
2630.5414684665875,4
2630.688350435376,4
2664.8861655458472,3
2770.7938528914633,4
2772.634643134107,4
2798.529638669828,3
2943.83514583583,2
2984.1154902419867,1
2988.7830282736372,2
2988.9272525274123,2
2999.2067386880026,1
2999.8340059015636,2
2999.9738975940163,2
3012.877942813937,3
3013.3348246447445,2
3020.346111400117,1
3055.6848680515714,2
3057.2634899965874,2
3118.8080086232726,1
3155.7033195085783,0
3182.80695260199,1
3186.1630607243887,1
3222.082966169202,0
3294.4676471923854,1
3296.815905303061,1
3303.8797602716913,2
3304.237611449805,2
3418.9021617399644,1
3449.5766723169145,0
3506.0330023756246,1
3506.4681524658804,1
3520.0494250452102,2
3520.3530859393595,2
3552.458377240676,1
3656.5260571718777,0
3710.931476569249,1
3711.6604130762103,1
3747.7983460807654,0
3851.570109656649,1
3851.777775170705,1
3879.5185904902933,0
4017.6256675621107,1
4020.4412503031904,1
4025.9154807299424,2
4027.2910453686886,2
4172.640021876666,1
4237.030560270259,0
4294.379217792702,1
4294.573384292508,1
4343.464026999499,0
4358.445329070741,1
4361.842016121368,1
4436.245877017012,2
4436.788069497908,2
4460.201605817547,1
4568.442198823083,2
4570.038544259026,2
4577.6555106752385,1
4615.846398646812,2
4618.491613676846,2
4819.864202153612,1
4849.722405367218,0
4929.141643712795,1
4929.211267234023,1
4957.306071186479,2
4957.903861472157,2
5047.301281979793,3
5047.792827415802,3
5096.57819065499,2
5121.967456505468,3
5124.518837804225,3
5132.433704974484,4
5134.850556520334,4
5151.690566586354,3
5209.619792926926,2
5285.718561300664,1
5286.215997207641,2
5286.420986545996,1
5316.401653252653,0
5502.786386012351,1
5505.151198703211,1
5531.789156341441,2
5535.840849791175,1
5568.410156579733,0
5719.693059530328,1
5721.005359870187,1
5747.303067357176,0
5750.376139050552,1
5755.900452705701,1
5852.072120766843,0
5864.701493644926,1
5869.4606275122505,1
5964.429610480895,0
6003.749860022034,1
6003.786909451933,1
6076.224085107376,2
6077.893746741281,1
6129.44549970831,0
6209.818848486065,1
6210.193977693598,1
6280.007236197825,2
6282.059932680738,1
6327.632359080673,0
6450.5036659351335,1
6450.750733827864,1
6515.228655547786,0
6582.013985429355,1
6583.149476472726,1
6627.488974795887,0
6725.092189383521,1
6725.654959672429,1
6879.39770098691,2
6882.1166868152795,1
6981.164694947069,2
6981.52715232671,1
6984.9651009358895,2
6987.734864706809,2
7036.726766538539,1
7062.8768988800175,0
7175.723042049371,1
7176.656078091213,1
7239.623357571354,0
7323.999208980094,1
7324.738358928363,1
7350.92074187904,2
7352.346081816934,2
7386.237648132571,3
7386.354889306627,2
7389.126988061694,2
7467.753656968819,3
7467.851858092068,2
7497.616183858868,1
7500.110729970702,0
7505.566166454708,1
7510.192223243553,1
7533.0753212938835,2
7533.94678803368,1
7562.74888062916,0
7584.820642404972,1
7586.054180169655,1
7667.094935514547,0
7835.454920854922,1
7835.464883530973,1
7928.93754614009,0
8070.377347145155,1
8071.552657175961,1
8092.9838839431795,2
8093.9576178462985,2
8094.854381889953,3
8094.930028083082,3
8116.394479694938,2
8190.076241850923,1
8204.707288382546,2
8210.647139964527,2
8299.973592423254,3
8301.847866177317,3
8323.847580791495,4
8324.18737885637,5
8324.689190164267,5
8326.17786274127,5
8331.753871828292,4
8394.048675871576,3
8523.48397220227,2
8549.829670685418,1
8609.409147398646,2
8613.260883102055,1
8667.780740049706,0
8893.875922902509,1
8894.92794748511,1
9135.215924432201,2
9136.846140141737,2
9157.418583082173,1
9200.841422335885,0
9294.64529783605,1
9296.205292357012,1
9345.187934366939,0
9372.433441567735,1
9373.02684644671,1
9377.352661927136,2
9378.124432124681,2
9404.499845114035,1
9427.754011806737,2
9427.773282686874,2
9453.326288035109,3
9453.62976391623,2
9475.512647547292,3
9476.619489766796,3
9479.96846546414,2
9483.768077746621,1
9487.444313159252,2
9489.245506500194,1
9525.034608108153,0
9552.942434119206,1
9554.378923263173,1
9564.964929272675,2
9565.068875127476,1
9627.8808614789,0
9636.431987740254,1
9638.68365829436,1
9715.10406525485,2
9715.581768305245,2
9729.798898385527,1
9759.432122511525,2
9760.063799524696,2
9768.557061255522,1
9795.622138735112,0
10057.331835289582,1
10057.544623165875,1
10184.869974197278,0
inf,1
