Simulation,mean_queue_hub_time,mean_N_queue_hub,mean_service_hub_time,mean_response_hub_time,mean_N_centre_hub,hub_rho,mean_queue_red_time,mean_N_queue_red,mean_service_red_time,mean_response_red_time,mean_N_centre_red,red_rho,mean_queue_yellow_time,mean_N_queue_yellow,mean_service_yellow_time,mean_response_yellow_time,mean_N_centre_yellow,yellow_rho,mean_queue_green_time,mean_N_queue_green,mean_service_green_time,mean_response_green_time,mean_N_centre_green,green_rho
1,0.0,0.0,1.4682745246170785,1.4682745246170785,0.011215985951936017,0.005607992975968009,36.49015250632817,0.14118213767329352,71.56268626171439,108.05283876804256,0.41806157856683135,0.27687944089353783,64.23166172147786,0.1210715845940555,105.66220198629378,169.89386370777163,0.32023644944917273,0.19916486485511722,0.0,0.0,119.27874469676217,119.27874469676217,0.0591660439964098,0.0591660439964098
2,0.0,0.0,1.2849076960741035,1.2849076960741035,0.011089977138734823,0.0055449885693674116,28.11479805473247,0.13387999073682127,74.77932027069583,102.89411832542832,0.4899719920258491,0.3560920012890278,161.21411021806836,0.3198692663056912,123.09962888763144,284.31373910569977,0.5641145617176584,0.24424529541196713,0.0,0.0,161.96540136952845,161.96540136952845,0.11247597317328364,0.11247597317328364
3,0.0,0.0,1.4102797951572665,1.4102797951572665,0.013990870983703042,0.006995435491851521,10.68001417019347,0.049797685118957644,53.27195955152424,63.9519737217177,0.2981887663611838,0.2483910812422261,39.480828725793025,0.12141921532733965,74.67341346024212,114.15424218603513,0.3510695940245128,0.2296503786971732,0.0,0.0,214.9822692383046,214.9822692383046,0.21327606075228633,0.21327606075228633
4,0.0,0.0,1.8288933754298282,1.8288933754298282,0.016510842972630394,0.008255421486315197,5.536965199338918,0.022521386227469804,83.52555320735355,89.06251840669248,0.3622582593923007,0.3397368731648309,58.6316761983583,0.1744990363046378,69.29757587802301,127.9292520763813,0.3807418216558967,0.20624278535125895,41.769507266894706,0.02900660226867688,195.13148872853475,236.90099599542944,0.16451458055238155,0.13550797828370467
5,0.0,0.0,1.7115997218253036,1.7115997218253036,0.01613114817196467,0.008065574085982335,19.85118337786633,0.09649880808685023,61.51269289956948,81.3638762774358,0.395518843015313,0.29902003492846274,20.309553743759224,0.05238575370414086,92.94836043100887,113.25791417476809,0.29213350878412403,0.23974775507998317,0.0,0.0,282.6282660970939,282.6282660970939,0.19626962923409297,0.19626962923409297
6,0.0,0.0,1.5442496002064923,1.5442496002064923,0.013634743493886688,0.006817371746943344,9.781675940678255,0.03687536564938231,59.19646970576432,68.97814564644258,0.26003666017508115,0.22316129452569886,17.30825520911733,0.051512664312849205,79.64319968447701,96.95145489359435,0.28854599670712605,0.23703333239427685,5.722811327890668,0.006245131409404498,269.3160006373235,275.03881196521417,0.30014156067632497,0.2938964292669205
7,0.0,0.0,1.4850680336722482,1.4850680336722482,0.012375566947268735,0.0061877834736343675,22.16399155382357,0.06816306926275106,65.9923287769761,88.15632033079967,0.2711156676840069,0.20295259842125588,89.76765707933077,0.3116932537476763,99.48221636662291,189.24987344595368,0.6571176161317837,0.34542436238410734,49.54262454475767,0.019659771644745107,376.1703316911535,425.7129562359112,0.16893371279202823,0.14927394114728312
8,0.0,0.0,1.590558664209465,1.590558664209465,0.0159371453457496,0.0079685726728748,26.87230005463164,0.11996562524389125,70.89086451629993,97.76316457093156,0.43644269897737303,0.31647707373348183,72.71584085803244,0.230843939231849,104.9639325533525,177.67977341138496,0.5640627727345553,0.33321883350270637,0.0,0.0,171.44616735056002,171.44616735056002,0.15307693513442858,0.15307693513442858
9,0.0,0.0,1.6649991035186713,1.6649991035186713,0.011562493774435217,0.005781246887217609,1.6042814068176556,0.004297182339690149,45.249799494636775,46.85408090145443,0.1255020024146101,0.12120482007491994,7.615024758334871,0.014353717302416922,79.57378770059698,87.18881245893185,0.164343991738066,0.14999027443564908,14.650294828165727,0.023254436235183692,137.5984877908481,152.24878261901384,0.24166473431589497,0.21841029808071127
10,0.0,0.0,1.4413784548290336,1.4413784548290336,0.013155438278201497,0.006577719139100748,9.304339114734795,0.04061417867542966,64.78117940914987,74.08551852388466,0.323389168159814,0.28277498948438434,49.04146933040635,0.13136107856358845,70.89807715287827,119.93954648328462,0.32126664236594094,0.18990556380235252,27.00089889445467,0.024107945441477385,110.51727133922601,137.51817023368068,0.12278408056578634,0.09867613512430894
