Simulation,mean_queue_hub_time,mean_N_queue_hub,mean_service_hub_time,mean_response_hub_time,mean_N_centre_hub,hub_rho,mean_queue_red_time,mean_N_queue_red,mean_service_red_time,mean_response_red_time,mean_N_centre_red,red_rho,mean_queue_yellow_time,mean_N_queue_yellow,mean_service_yellow_time,mean_response_yellow_time,mean_N_centre_yellow,yellow_rho,mean_queue_green_squadra_time,mean_N_queue_green_squadra,mean_service_green_squadra_time,mean_response_green_squadra_time,mean_N_centre_green_squadra,green_squadra_rho,mean_queue_green_modulo_time,mean_N_queue_green_modulo,mean_service_green_modulo_time,mean_response_green_modulo_time,mean_N_centre_green_modulo,green_modulo_rho,job_completed_percentage
187,0.0,0.0,1.5655401121844088,1.5655401121844088,0.01274255571994685,0.006371277859973425,23.153939809148703,0.09570191513288047,62.27394821206195,85.42788802121066,0.3530981144797106,0.25739619934683017,88.12040081033162,0.20312662228647296,95.50593606662959,188.58556474384386,0.42327766589416144,0.22015104360768847,16.328769138835085,0.013498303020825279,164.4572346200943,244.7681894897593,0.14944814516718563,0.13594984214636036,18.000037540060777,0.01545217263227798,178.57743222855024,196.57746976861102,0.16875237019481942,0.15330019756254143,0.859375
188,0.0,0.0,1.472276601960868,1.472276601960868,0.012421980936101565,0.006210990468050783,15.414215070133864,0.06909105202594105,57.67774070252237,73.09195577265623,0.3276196741766701,0.258528622150729,39.7009766460648,0.09682653558150886,77.54149844228239,124.73105293267446,0.2859421516757889,0.18911561609428004,8.238628788478673,0.008145873711242042,130.3524113579115,179.96615672976645,0.13703070493004194,0.12888483121879993,4.923613817100564,0.0025152268639788283,160.4120190684427,165.33563288554328,0.08446166593373303,0.0819464390697542,0.84765625
189,0.0,0.0,1.5383508581577412,1.5383508581577412,0.013408353807904283,0.0067041769039521415,15.899312588614539,0.0695603203347164,57.068217644442406,72.96753023305695,0.3192367436488545,0.24967642331413809,66.20551236110829,0.17469318026724875,85.73354931662031,156.87575219102928,0.40091401674426586,0.2262208364770171,4.618544782353741,0.004167073211831656,139.56060220499873,201.55535239412959,0.1300853600924809,0.12591828688064924,6.0404245097359475,0.00452449632394084,169.40510164696204,175.44552615669798,0.13141504158662964,0.1268905452626888,0.845703125
190,0.0,0.0,1.4971008048635077,1.4971008048635077,0.012957819649880726,0.006478909824940363,13.98018787118524,0.06428251175543194,55.09961422810899,69.07980209929423,0.31763687522850986,0.25335436347307794,53.86117483949823,0.1174563385942267,77.14610361475427,148.15818762573716,0.2856906724052099,0.16823433381098318,8.389246774092317,0.00921822390028028,161.47741281279409,210.93544368889212,0.18665190611633084,0.17743368221605058,2.7339165391193494,0.002079738312154091,183.70281477585021,186.43673131496956,0.14182569488146096,0.13974595656930686,0.86328125
191,0.0,0.0,1.553066267702276,1.553066267702276,0.013883334985916566,0.006941667492958283,22.92987479427113,0.11449896770123359,61.48047084832212,84.41034564259324,0.4214980468099178,0.30699907910868424,56.401480176307466,0.14377295933594786,81.16598568359814,146.77582242953014,0.35067309604640373,0.20690013671045587,1.574368549267883,0.001264439609002607,117.86847894649468,139.0785376121123,0.09592942354948059,0.09466498394047798,0.6576355397701263,0.0003789073849470412,153.78964905226798,154.4472845920381,0.08898730858949083,0.08860840120454379,0.873046875
192,0.0,0.0,1.4922166671492245,1.4922166671492245,0.013104968614681021,0.006552484307340511,15.20972994944506,0.06626578659078776,59.01400960667482,74.22373955611988,0.32337816001628006,0.2571123734254923,68.13287785126413,0.1939987623011666,80.15455408512473,162.79102196000412,0.4222275525081784,0.22822879020701176,1.5553632962804,0.0013872966180207434,118.33715086405708,135.7371469716683,0.1069373822941589,0.10555008567613815,9.324068719759966,0.006237408825344965,144.56363137758936,153.88770009734932,0.10294438270977865,0.0967069738844337,0.84375
193,0.0,0.0,1.4298722090063714,1.4298722090063714,0.012096574967353602,0.006048287483676801,38.04104063436126,0.17788284194381837,60.229032054321344,98.2700726886826,0.4595184441957363,0.2816356022519179,75.21469443753638,0.16777671970469318,80.59644552938781,157.03237630044953,0.3475581753351281,0.17978145563043496,5.521876665130257,0.004561964921277986,101.67921657621366,108.12374587429356,0.08856547448404938,0.08400350956277139,13.286810825643844,0.009440270577774669,167.1326436642068,180.41945448985064,0.12818790680691125,0.11874763622913659,0.865234375
194,0.0,0.0,1.5385184709080564,1.5385184709080564,0.012942523466162136,0.006471261733081068,38.50839160375016,0.16766697889501234,65.92396195105503,104.43235355480519,0.4547023775909868,0.28703539869597444,68.88208662093486,0.16863155643767877,99.80598922595094,191.25880448554176,0.4129685115243317,0.24433695508665304,2.628244467158901,0.0020295974205825702,159.89223372232215,232.64746922629513,0.1255024589405039,0.12347286151992135,14.90304883185774,0.012243100494721378,175.04474733943235,189.9477961712901,0.15604524842626216,0.1438021479315408,0.873046875
195,0.0,0.0,1.6348246979619354,1.6348246979619354,0.013840800788379841,0.0069204003941899205,18.841967755724696,0.08536834967488446,56.15660564220047,74.99857339792517,0.33980020144160955,0.2544318517667251,43.67691613732543,0.10977807766982424,89.39972163074816,141.73987452084225,0.33447639551772684,0.22469831784790262,0.6599550702404685,0.00044742298739294703,115.4785552002155,150.5585946288167,0.07873723766928564,0.0782898146818927,5.216497140428559,0.003795348994748938,163.30483713954402,168.5213342799726,0.12261049118502879,0.11881514219027985,0.87109375
196,0.0,0.0,1.4910581461512498,1.4910581461512498,0.012824049434904172,0.006412024717452086,37.64694170881103,0.17517418813345192,63.184514059843295,100.83145576865432,0.46917671398668115,0.2940025258532292,99.35582787742558,0.24367268286886132,78.61904394264128,215.11409323692683,0.4364878782263245,0.1928151953574632,6.600749553181231,0.005100487991494751,115.76635851695801,163.53982218359195,0.09455471083051246,0.08945422283901772,14.93498564735055,0.010035186397323627,162.43328134481635,177.3682669921669,0.11917812726873393,0.10914294087141031,0.861328125
197,0.0,0.0,1.4793444275054424,1.4793444275054424,0.012515758172034321,0.0062578790860171605,45.48352966330999,0.2111924468467893,62.2873717903515,107.77090145366148,0.5004097207355263,0.2892172738887369,76.42285319194198,0.16416648597246905,90.98133838723372,181.33030979607753,0.3596065407240381,0.19544005475156906,11.85881243556462,0.01058163707060829,136.19438447577417,199.44918003970307,0.1321081014959573,0.121526464425349,8.124255849696372,0.006175317984174122,182.49655494747458,190.62081079717095,0.1448925468192408,0.13871722883506665,0.865234375
